tanggal,nama_provinsi,lat,lon,hujan_mm,suhu_rata,kelembaban_tanah,persentase_penduduk_miskin
2024-08-13,ACEH,4.6951,96.7494,15.2,20.2,0.479,14.23
2024-08-14,ACEH,4.6951,96.7494,13.5,20.0,0.496,14.23
2024-08-15,ACEH,4.6951,96.7494,18.1,20.1,0.504,14.23
2024-08-16,ACEH,4.6951,96.7494,8.2,20.1,0.498,14.23
2024-08-17,ACEH,4.6951,96.7494,6.7,20.4,0.497,14.23
2024-08-18,ACEH,4.6951,96.7494,30.2,19.6,0.505,14.23
2024-08-19,ACEH,4.6951,96.7494,13.6,19.9,0.505,14.23
2024-08-20,ACEH,4.6951,96.7494,8.6,18.6,0.506,14.23
2024-08-21,ACEH,4.6951,96.7494,10.2,19.8,0.492,14.23
2024-08-22,ACEH,4.6951,96.7494,4.6,20.2,0.474,14.23
2024-08-23,ACEH,4.6951,96.7494,0.8,19.4,0.467,14.23
2024-08-24,ACEH,4.6951,96.7494,9.4,19.7,0.478,14.23
2024-08-25,ACEH,4.6951,96.7494,2.7,19.9,0.489,14.23
2024-08-26,ACEH,4.6951,96.7494,13.2,20.5,0.482,14.23
2024-08-27,ACEH,4.6951,96.7494,21.2,19.4,0.511,14.23
2024-08-28,ACEH,4.6951,96.7494,2.3,19.9,0.498,14.23
2024-08-29,ACEH,4.6951,96.7494,0.0,20.5,0.476,14.23
2024-08-30,ACEH,4.6951,96.7494,0.6,20.8,0.463,14.23
2024-08-31,ACEH,4.6951,96.7494,0.3,20.3,0.461,14.23
2024-09-01,ACEH,4.6951,96.7494,0.7,21.0,0.447,14.23
2024-09-02,ACEH,4.6951,96.7494,2.8,21.3,0.469,14.23
2024-09-03,ACEH,4.6951,96.7494,0.2,20.9,0.473,14.23
2024-09-04,ACEH,4.6951,96.7494,0.0,20.6,0.453,14.23
2024-09-05,ACEH,4.6951,96.7494,1.4,21.0,0.44,14.23
2024-09-06,ACEH,4.6951,96.7494,4.6,20.9,0.436,14.23
2024-09-07,ACEH,4.6951,96.7494,4.4,20.5,0.453,14.23
2024-09-08,ACEH,4.6951,96.7494,17.4,19.6,0.475,14.23
2024-09-09,ACEH,4.6951,96.7494,4.8,20.4,0.474,14.23
2024-09-10,ACEH,4.6951,96.7494,6.3,20.8,0.472,14.23
2024-09-11,ACEH,4.6951,96.7494,16.6,20.6,0.483,14.23
2024-09-12,ACEH,4.6951,96.7494,2.6,20.8,0.47,14.23
2024-09-13,ACEH,4.6951,96.7494,1.4,20.2,0.451,14.23
2024-09-14,ACEH,4.6951,96.7494,4.7,20.5,0.44,14.23
2024-09-15,ACEH,4.6951,96.7494,1.7,20.6,0.449,14.23
2024-09-16,ACEH,4.6951,96.7494,2.8,20.3,0.448,14.23
2024-09-17,ACEH,4.6951,96.7494,15.3,19.7,0.475,14.23
2024-09-18,ACEH,4.6951,96.7494,4.9,20.4,0.487,14.23
2024-09-19,ACEH,4.6951,96.7494,1.8,20.7,0.479,14.23
2024-09-20,ACEH,4.6951,96.7494,11.9,19.8,0.485,14.23
2024-09-21,ACEH,4.6951,96.7494,0.4,20.6,0.473,14.23
2024-09-22,ACEH,4.6951,96.7494,0.6,20.6,0.46,14.23
2024-09-23,ACEH,4.6951,96.7494,11.9,20.6,0.459,14.23
2024-09-24,ACEH,4.6951,96.7494,15.2,20.1,0.493,14.23
2024-09-25,ACEH,4.6951,96.7494,0.0,21.0,0.466,14.23
2024-09-26,ACEH,4.6951,96.7494,2.8,20.2,0.459,14.23
2024-09-27,ACEH,4.6951,96.7494,6.7,20.3,0.478,14.23
2024-09-28,ACEH,4.6951,96.7494,11.7,20.0,0.499,14.23
